Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,"3,2","3,2","3,2","3,2","3,1","3,1","3,1","2,9","2,9","2,8"
Estonia,"2,9","3,2","3,1","3,1","3,2","3,3","3,4","3,5","3,7","3,7"
Germany,"3,0","2,9","3,3","3,5","3,4","3,3","3,4","3,8","3,7","4,0"
Finland,"5,1","5,1","5,0","4,8","5,0","4,9","4,8","4,4","4,4","4,3"
Hungary,"4,6","4,9","4,6","4,7","4,6","4,8","4,4","4,5","4,6","4,6"
Latvia,"3,7","4,1","4,2","4,4","4,1","4,4","4,3","4,7","4,4","4,6"
Austria,"4,8","4,7","4,5","5,3","4,7","4,7","4,7","5,1","4,7","4,7"
Slovakia,,"6,9","5,8","6,5","6,2","6,4","6,0","5,1","5,0","4,8"
Bulgaria,"5,5","5,7","5,3","5,7","5,6","5,5","4,7","5,4","5,5","5,4"
Sweden,"6,7","6,7","6,6","6,3","6,4","6,0","6,0","5,9","5,7","5,5"
Norway,"6,4","6,5","6,4","6,2","6,1","6,1","5,8","5,6","5,5","5,7"
United Kingdom,"6,4","6,5","7,0","6,9","7,0","6,7","6,6","6,4","6,2","5,8"
Czechia,"5,8","6,2","5,2","6,1","6,1","6,3",,,,"6,0"
Lithuania,"6,4","6,9","6,2","7,2","6,1","6,5","6,5","6,7","6,5","6,3"
Poland,"6,4","7,9","6,2","6,4","6,0","7,1","6,8","6,6","6,8","6,4"
Slovenia,"7,1","7,1","7,1","7,2","6,9","7,0","6,8","6,9","6,9","6,7"
Malta,"6,6","6,8","6,0","6,4","6,5","5,8","5,9","7,3","6,1","6,7"
Croatia,"6,7","6,7","7,7","7,8","8,0","8,1","7,9","7,8","7,8","7,9"
Luxembourg,"9,0","9,0","9,2","9,2","8,6","9,0","8,4","6,8","8,5","8,3"
Iceland,"9,6","9,7","9,6","9,2","8,2","8,3","9,1","9,3","8,9","8,4"
Denmark,"9,7","10,1","9,5","9,8","9,7","9,9","9,8","9,5","9,2","8,9"
Portugal,"8,2","8,4","8,4","7,6","7,9","8,3","8,6","8,7","9,2","9,1"
Italy,"10,0","10,5","10,3","10,8","10,5","10,4","10,3","8,8","8,9","9,2"
Cyprus,"9,7","10,3","9,3","8,7","7,8","9,0","8,7","9,3","8,9","9,7"
Belgium,"11,0","11,1","11,5","9,9","9,9","10,1","10,2","9,7","10,1","9,8"
Ireland,"7,8","8,8","9,0","9,5","9,7","11,3","10,3","9,5","9,7","10,0"
Greece,"8,7","8,3","8,6","8,4","8,0","9,8","10,9","10,8","11,1","11,0"
Romania,,"13,2","12,8","13,1","12,1","13,5","11,5","11,2","11,4","11,3"
Spain,"8,5","8,8","8,3","8,6","9,4","9,8","14,8","14,2","13,8","13,2"
France,"10,6","11,2","11,7","12,4","12,2","12,7","13,3","13,0","13,3","13,3"
