Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,32,32,32,32,31,31,31,29,29,28
Estonia,NA,32,31,31,32,33,34,35,37,37
Germany,30,29,33,35,34,33,34,38,37,40
Finland,NA,51,50,48,50,49,48,44,44,43
Hungary,46,49,46,47,46,48,44,45,46,46
Latvia,NA,41,42,44,41,44,43,47,44,46
Austria,48,47,45,53,47,47,47,51,47,47
Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,50,48
Bulgaria,55,57,53,57,56,55,47,54,55,54
Sweden,NA,67,66,63,64,60,60,59,57,55
Norway,64,65,64,62,61,61,58,56,55,57
United Kingdom,NA,65,70,69,70,67,66,64,62,58
Czechia,NA,62,52,61,61,63,NA,NA,NA,60
Lithuania,NA,69,62,72,61,65,65,67,65,63
Poland,NA,79,62,64,60,71,68,66,68,64
Slovenia,NA,71,71,72,69,70,68,69,69,67
Malta,66,68,60,64,65,58,59,73,61,67
Croatia,NA,67,77,78,80,81,79,78,78,79
Luxembourg,90,90,92,92,86,90,84,68,85,83
Iceland,NA,97,96,92,82,83,91,93,89,84
Denmark,97,101,95,98,97,99,98,95,92,89
Portugal,NA,84,84,76,79,83,86,87,92,91
Italy,100,105,103,108,105,104,103,88,89,92
Cyprus,NA,103,93,87,78,90,87,93,89,97
Belgium,110,111,115,99,99,101,102,97,101,98
Ireland,NA,88,90,95,97,113,103,95,97,100
Greece,87,83,86,84,80,98,109,108,111,110
Romania,NA,132,128,131,121,135,115,112,114,113
Spain,85,88,83,86,94,98,148,142,138,132
France,106,112,117,124,122,127,133,130,133,133
